constructorId,constructor_name,nationality,url,,,
1,McLaren,British,http://en.wikipedia.org/wiki/McLaren,,,
2,Williams,British,http://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering,,,
3,Ferrari,Italian,http://en.wikipedia.org/wiki/Scuderia_Ferrari,,,
4,Red Bull,Austrian,http://en.wikipedia.org/wiki/Red_Bull_Racing,,,
5,Alfa Romeo,Swiss,http://en.wikipedia.org/wiki/Alfa_Romeo_in_Formula_One,,,
6,Aston Martin,British,http://en.wikipedia.org/wiki/Aston_Martin_in_Formula_One,,,
7,Mercedes,German,http://en.wikipedia.org/wiki/Mercedes-Benz_in_Formula_One,,,
8,Haas F1 Team,American,http://en.wikipedia.org/wiki/Haas_F1_Team,,,
9,AlphaTauri,Italian,http://en.wikipedia.org/wiki/Scuderia_AlphaTauri,,,
10,Alpine F1 Team,French,http://en.wikipedia.org/wiki/Alpine_F1_Team,,,
,,,,,,
,,,,,, 